detector,distinct_values
Box,2312
GoogleGeminiAPIKey,2032
LivePublishableKey,1018
Imagekit,870
ClerkPublishableKey,644
SentryDSN,487
DigitalOceanToken,461
AzureSasToken,346
SupabaseJWT,306
Rawg,284
HubSpotApiKey,276
Privacy,256
JWT,254
Front,152
YoutubeApiKey,118
Shortcut,100
TLy,98
BingSubscriptionKey,97
StoryblokAccessToken,97
CloudflareApiToken,77
Hunter,70
ResendApiKey,70
AlgoliaAdminKey,65
Onesignal,62
FastlyPersonalToken,57
UnifyID,53
Agora,52
URI,47
Azure,42
RailwayApp,42
CannyIo,39
Clientary,39
Gitlab,38
NpmToken,36
PhraseAccessToken,35
VirusTotal,31
Dockerhub,30
AWSAppSync,27
CustomerIO,27
PaypalOauth,27
"Private Key (PEM, any detector)",26
AWSSessionKey,22
Chatbot,21
JDBC,21
Aiven,20
TelegramBotToken,20
Auth0oauth,19
FacebookOAuth,17
AWS,16
RazorPay,16
Stripe,15
Bugherd,14
Fmfw,14
DatadogApikey,13
Wit,13
Circle,12
Coda,12
Qase,12
TatumIO,11
HereAPI,10
Host,10
OpenAI,10
Postgres,9
Atera,8
Infura,8
PushBulletApiKey,8
Miro,7
PrivateKey,7
Roaring,7
SendinBlueV2,7
Geoapify,6
OpenWeather,6
Lob,5
PubNubPublishKey,5
PubNubSubscriptionKey,5
FlightLabs,4
OpenCageData,1
PosthogApp,1
Rebrandly,1
Zerobounce,1
