tool,regex,example
v0,"<meta[^>]{0,200}content=""v0\.(?:app|dev)""[^>]*>","<meta name=""generator"" content=""v0.app""/>"
v0,"/placeholder\.svg\?height=\d{1,5}&(?:amp;)?width=\d{1,5}","<img src=""/placeholder.svg?height=400&width=600""/>"
v0,hebbkx1anhila5yf\.public\.blob\.vercel-storage\.com,https://hebbkx1anhila5yf.public.blob.vercel-storage.com/image.png
v0,"data-v0-t=""[^""]{1,120}""","<button data-v0-t=""1709238472"">Submit</button>"
Lovable,/lovable-uploads/,"<img src=""/lovable-uploads/a1b2c3.png"">"
Lovable,https://cdn\.gpteng\.co/gptengineer\.js,"<script src=""https://cdn.gpteng.co/gptengineer.js"" type=""module""></script>"
Lovable,<!--\s*Lovable Tag\s*-->,<!-- Lovable Tag -->
Websim.ai,"w-tid=""\d{1,12}""","<main w-tid=""42"">Hello World</main>"
Websim.ai,"<meta[^>]{0,200}name=""websim:[^""]{1,60}""[^>]*>","<meta name=""websim:context"" content=""..."" />"
Create.xyz,"id=""create-app""","<div id=""create-app""></div>"
Create.xyz,"https://cdn\.create\.xyz/[^""]{1,200}","<script src=""https://cdn.create.xyz/bundle.js""></script>"
Bolt.new,"<meta[^>]{0,200}content=""https://bolt\.new/static/og_default\.png""[^>]*>","<meta property=""og:image"" content=""https://bolt.new/static/og_default.png""/>"
Bolt.new,"<meta[^>]{0,200}name=""bolt""[^>]*>","<meta name=""bolt"" content=""true"" />"
Replit Agent,replit\.com/public/js/replit-dev-banner\.js,"<script src=""https://replit.com/public/js/replit-dev-banner.js"">"
Replit Agent,/__replit/auth\.js,"<script src=""/__replit/auth.js""></script>"
Replit Agent,"wss://[a-zA-Z0-9.-]{1,80}\.repl(?:it)?\.(?:co|dev|app)/__replit","new WebSocket(""wss://xyz.replit.dev/__replit"")"
AI IDEs / Agents,"<meta[^>]{0,120}name=""generator""[^>]{0,120}content=""(?:claude code|openai codex|github copilot|windsurf|devin|bolt|lovable)""[^>]*>","<meta name=""generator"" content=""Claude Code""/>"
AI IDEs / Agents,"<!--\s*(?:Generated by|TODO:)\s*(?:Cursor|Windsurf|Lovable|AI|Copilot)\b.{0,160}?-->",<!-- TODO: AI generated header -->
